Subject,Vowel,B,D,G,K,P,T,M,N,S,Z,L,R,F,V
1,0.042756341,-0.01933284,-0.004880525,0.027316263,0.028123263,0.032280385,0.021441452,0.029133171,0.015178382,0.047701622,0.040961694,0.031241994,0.021694669,0.056323092,0.086904139
2,0.060175593,0.101096404,0.057157058,0.06367138,0.059197044,0.118863668,0.054997676,0.028608093,0.013829992,0.060202235,0.014723856,-0.003402574,0.035428782,0.08917187,0.111806857
3,0.029865204,0.024007808,0.020418401,0.045751786,0.026642725,0.039520198,0.045672907,0.086236843,0.026899136,0.058852808,0.048924468,0.038061266,0.02565482,-0.006947794,-4.00E-05
4,0.049038056,0.042652678,-0.006460973,0.017700291,0.108580612,-0.015783459,-0.007423129,0.053336851,0.002476792,0.083723411,0.066232191,-0.01142823,0.078951993,0.014354678,0.046338461
5,0.103407027,0.080713407,0.122561142,0.080954603,0.040779793,0.024559427,0.126654732,0.125529324,0.002211725,0.023060649,0.005706629,0.060321356,0.030659753,0.093980733,0.070254062
6,0.012145809,0.057945799,-0.01221425,0.045415043,0.023712236,0.076399515,0.008858597,0.038115527,0.01673541,0.054666792,0.056415785,-0.006203513,-0.023088116,0.022980007,0.082848351
7,0.021643447,0.007013071,0.072489467,0.031847814,0.09276841,-0.01359985,0.004183016,0.066558192,0.201244401,0.02919979,0.091615241,0.07769014,0.040744985,-0.006935365,0.015180111
8,0.13097811,0.099459105,0.094880343,0.078665243,0.043799639,0.080353171,0.10511009,0.022356885,0.02276036,0.218392302,0.062853892,0.018336537,0.034197583,0.158994212,0.092830357
9,0.005493368,0.137247895,0.160174009,0.113040174,-0.008368955,-0.092652891,0.026530685,0.184885067,0.175151803,0.087781582,-0.027129887,0.207627005,-0.027765806,-0.028893441,0.067127278
10,0.016199259,0.059505893,0.053966794,0.027280432,0.091971989,0.030256778,-0.005015868,0.042342514,0.018197332,0.056880847,0.003900456,0.069711645,0.033427772,0.044828604,0.05151279
11,0.220628554,0.224123849,0.128916006,0.15108251,0.10969484,0.098471381,0.052670619,0.205257939,0.177437528,0.10052436,0.048539204,0.112954455,0.144449727,0.089458924,0.084110337
12,-0.018002581,0.018049391,-0.012562615,0.036838655,-0.084191461,0.009408078,-0.029024623,-0.024832113,-0.060567925,0.028172761,0.007486955,0.053170433,0.009972527,0.071800779,0.007658548
13,0.08386729,0.032331373,-0.011647028,0.011302075,0.023252259,0.030056569,0.012308811,-0.013920815,0.046542324,0.091638341,0.01232644,-0.014625346,0.054954279,-0.060037176,0.000664673
14,0.091104389,-0.025989967,0.093134831,0.045168753,0.043126091,0.034331983,0.007390169,0.056061223,0.168809689,0.0862676,0.047151991,0.012202439,0.042417583,0.016890392,0.034143342
15,0.009630838,0.14659473,0.04553798,-0.023885453,-0.108642369,-0.012471316,-0.017199747,0.047538908,-0.059600044,0.175351944,0.028345528,-0.171306025,-0.063090225,0.104688852,-0.087611717
16,0.000275705,-0.027536297,-0.03629856,-0.069484994,-0.015534217,-0.037347653,0.038735681,0.054006274,0.063258846,-0.045279633,-0.015849551,0.061202422,-0.009473794,-0.019341104,-0.028573318
17,0.032734129,0.068032188,0.000107553,0.015196851,0.044571429,0.030445501,0.017127676,0.031442421,0.028597947,0.024003898,0.029032338,0.046547661,0.029217548,0.03194315,0.010779576
18,0.020333787,-0.025716398,0.071721061,0.030594887,0.041403347,0.020842214,0.014875107,0.056710224,0.033618043,0.059325542,0.07065575,0.018795488,0.044129887,0.023917024,0.014120511
19,0.026424229,0.050852696,0.031010061,0.048402132,0.042320537,0.013974292,-0.024854402,0.058088981,-0.026713576,0.062605048,0.078656213,0.028148811,-0.009284603,0.049759791,0.060427505
20,0.072640703,0.012394158,0.119460003,0.056937004,0.159900418,0.045495259,0.079871459,0.151374173,0.120523275,0.132441875,0.046914456,0.025725316,0.08267912,0.164453119,0.088079733
21,0.059986521,0.057953432,0.073379287,0.053843551,0.014633602,0.065293612,0.026589526,0.024636023,0.003812548,0.066103925,0.056628276,-0.023049146,0.00783893,-0.00610581,0.082125796
22,0.037563725,0.07473569,0.097285534,0.022307976,0.045468769,0.036722636,-0.016514033,0.020709938,0.086345096,0.038999807,-0.033335576,0.020505892,0.038362525,0.032088106,0.010322513
23,0.087488629,-0.009353786,0.096358949,0.053635751,0.043996028,0.024960729,0.057372081,0.058398523,0.019261561,0.012850741,0.062385742,-0.019654336,-0.026068894,0.022138492,0.038596765
24,0.008144704,0.058958041,0.032694599,0.028436565,0.126626079,0.034450904,0.039409919,0.128905847,0.047956527,0.082722301,0.138099093,0.053205838,0.037593228,0.088360136,0.045390721
25,0.126844329,-0.024255652,0.09850821,0.017666808,0.106361043,-0.002974758,0.141497792,0.07876266,0.109058922,0.010317003,0.067263715,0.035874802,0.081934032,0.059919621,0.020216827
