Consonant,ITC
Sibilants,0.159757958
Sibilants,0.164605891
Sibilants,0.174665795
Sibilants,0.223741778
Sibilants,0.245057719
Sibilants,0.174794
Sibilants,0.199471693
Sibilants,0.243675417
Sibilants,0.297435106
Sibilants,0.171050257
Sibilants,0.233198174
Sibilants,0.198857822
Sibilants,0.263634332
Sibilants,0.197384473
Sibilants,0.326456843
Sibilants,0.289243134
Sibilants,0.184816205
Sibilants,0.190522203
Sibilants,0.192058863
Sibilants,0.247247281
Sibilants,0.171387971
Sibilants,0.242065749
Sibilants,0.21551333
Sibilants,0.237876036
Sibilants,0.21424786
Nasals,0.154535462
Nasals,0.15541912
Nasals,0.160488423
Nasals,0.267621874
Nasals,0.27160406
Nasals,0.220964198
Nasals,0.203940443
Nasals,0.278936252
Nasals,0.456934159
Nasals,0.241683958
Nasals,0.294114185
Nasals,0.248967719
Nasals,0.267787152
Nasals,0.252620475
Nasals,0.47800798
Nasals,0.242965126
Nasals,0.218990076
Nasals,0.221319167
Nasals,0.320768335
Nasals,0.321065134
Nasals,0.194857165
Nasals,0.240799637
Nasals,0.235903419
Nasals,0.250578856
Nasals,0.251096435
Stops,0.185331117
Stops,0.202354253
Stops,0.182406166
Stops,0.317018212
Stops,0.26645833
Stops,0.206951284
Stops,0.200754277
Stops,0.244862047
Stops,0.382285017
Stops,0.246242461
Stops,0.282044942
Stops,0.257373077
Stops,0.239346367
Stops,0.245114982
Stops,0.42613083
Stops,0.292363316
Stops,0.192786686
Stops,0.27099155
Stops,0.209244429
Stops,0.230618241
Stops,0.227344687
Stops,0.246437109
Stops,0.212143401
Stops,0.240300374
Stops,0.241542872
