Consonant,ITC
Sibilants,0.044331658
Sibilants,0.037463046
Sibilants,0.053888638
Sibilants,0.074977801
Sibilants,0.014383639
Sibilants,0.055541289
Sibilants,0.060407516
Sibilants,0.140623097
Sibilants,0.030325848
Sibilants,0.030390651
Sibilants,0.074531782
Sibilants,0.017829858
Sibilants,0.051982391
Sibilants,0.066709796
Sibilants,0.101848736
Sibilants,-0.030564592
Sibilants,0.026518118
Sibilants,0.064990646
Sibilants,0.07063063
Sibilants,0.089678165
Sibilants,0.0613661
Sibilants,0.002832116
Sibilants,0.037618242
Sibilants,0.110410697
Sibilants,0.038790359
Nasals,0.022155776
Nasals,0.021219043
Nasals,0.056567989
Nasals,0.027906822
Nasals,0.063870525
Nasals,0.027425468
Nasals,0.133901297
Nasals,0.022558623
Nasals,0.180018435
Nasals,0.030269923
Nasals,0.191347734
Nasals,-0.042700019
Nasals,0.016310755
Nasals,0.112435456
Nasals,-0.006030568
Nasals,0.05863256
Nasals,0.030020184
Nasals,0.045164134
Nasals,0.015687702
Nasals,0.135948724
Nasals,0.014224285
Nasals,0.053527517
Nasals,0.038830042
Nasals,0.088431187
Nasals,0.093910791
Fricatives,0.071613616
Fricatives,0.100489363
Fricatives,-0.003493878
Fricatives,0.030346569
Fricatives,0.082117398
Fricatives,0.052914179
Fricatives,0.004122373
Fricatives,0.125912284
Fricatives,0.019116919
Fricatives,0.048170697
Fricatives,0.086784631
Fricatives,0.039729663
Fricatives,-0.029686252
Fricatives,0.025516867
Fricatives,0.008538568
Fricatives,-0.023957211
Fricatives,0.021361363
Fricatives,0.019018767
Fricatives,0.055093648
Fricatives,0.126266426
Fricatives,0.038009993
Fricatives,0.02120531
Fricatives,0.030367628
Fricatives,0.066875428
Fricatives,0.040068224
Rhotics,0.026468332
Rhotics,0.016013104
Rhotics,0.031858043
Rhotics,0.033761882
Rhotics,0.045490554
Rhotics,-0.014645814
Rhotics,0.059217562
Rhotics,0.02626706
Rhotics,0.089930599
Rhotics,0.051569708
Rhotics,0.128702091
Rhotics,0.03157148
Rhotics,0.020164467
Rhotics,0.027310011
Rhotics,-0.117198125
Rhotics,0.025864314
Rhotics,0.037882604
Rhotics,0.031462688
Rhotics,0.009432104
Rhotics,0.054202218
Rhotics,-0.007605108
Rhotics,0.029434208
Rhotics,-0.022861615
Rhotics,0.045399533
Rhotics,0.058904417
Stops,0.014158
Stops,0.075830538
Stops,0.033668971
Stops,0.023211004
Stops,0.079370517
Stops,0.033352823
Stops,0.032450321
Stops,0.083711265
Stops,0.055995153
Stops,0.042994336
Stops,0.127493201
Stops,-0.010247096
Stops,0.016267343
Stops,0.03286031
Stops,0.004988971
Stops,-0.024577673
Stops,0.029246866
Stops,0.025620036
Stops,0.026950886
Stops,0.079009717
Stops,0.048615502
Stops,0.043334429
Stops,0.044494959
Stops,0.053429351
Stops,0.056133907
